Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task,
report completion,5 days,1,10/11/19 08:00 AM,10/17/19 05:00 PM,10/11/19 08:00 AM,10/17/19 05:00 PM,10/11/19 08:00 AM,10/17/19 05:00 PM,,
cet evaluation,140 days,0.5,10/18/19 08:00 AM,04/30/20 05:00 PM,10/18/19 08:00 AM,04/30/20 05:00 PM,10/18/19 08:00 AM,,,
CR,109 days,1,05/01/20 08:00 AM,09/30/20 05:00 PM,05/01/20 08:00 AM,09/30/20 05:00 PM,05/01/20 08:00 AM,09/30/20 05:00 PM,,meeting had with CNO on 07/22/20
Backup Solution for internal backup requirements,608 days?,0.203728362183755,09/25/20 08:00 AM,01/24/23 05:00 PM,09/25/20 08:00 AM,01/24/23 05:00 PM,,,1,
CNO Group requirement gathering,25 days?,1,09/25/20 08:00 AM,10/29/20 05:00 PM,09/25/20 08:00 AM,10/29/20 05:00 PM,09/25/20 08:00 AM,10/29/20 05:00 PM,,
Obtain Quotation,98 days?,1,10/01/20 08:00 AM,02/15/21 05:00 PM,10/01/20 08:00 AM,02/15/21 05:00 PM,10/01/20 08:00 AM,02/15/21 05:00 PM,,it took time than expected for Demo and finalizing requirements
New TET Appointment,41 days,0,01/01/21 08:00 AM,02/26/21 05:00 PM,01/01/21 08:00 AM,02/26/21 05:00 PM,01/01/21 08:00 AM,,,needed to appoint new tet team due to req change
New CR,10 days,0,03/01/21 08:00 AM,03/12/21 05:00 PM,03/01/21 08:00 AM,03/12/21 05:00 PM,,,,
New RFP Preperation,30 days,1,11/03/20 08:00 AM,12/14/20 05:00 PM,11/03/20 08:00 AM,12/14/20 05:00 PM,11/03/20 08:00 AM,12/14/20 05:00 PM,,Draft 1 received 13/12/12020. Need to finalize operational model
RFP Finalization,10 days,0,03/01/21 08:00 AM,03/12/21 05:00 PM,03/01/21 08:00 AM,03/12/21 05:00 PM,,,,
Tendering doc preperation,5 days,0,03/15/21 08:00 AM,03/19/21 05:00 PM,03/15/21 08:00 AM,03/19/21 05:00 PM,,,,
Re - Tendering,15 days,0,03/22/21 08:00 AM,04/09/21 05:00 PM,03/22/21 08:00 AM,04/09/21 05:00 PM,,,,
Tendering lead,5 days,0,04/12/21 08:00 AM,04/16/21 05:00 PM,04/12/21 08:00 AM,04/16/21 05:00 PM,,,,
TET evaluation,30 days?,0,04/19/21 08:00 AM,05/28/21 05:00 PM,04/19/21 08:00 AM,05/28/21 05:00 PM,,,1,
Clarifications,20 days,0,04/19/21 08:00 AM,05/14/21 05:00 PM,04/19/21 08:00 AM,05/14/21 05:00 PM,,,,
Contract Negotiation,10 days?,0,04/19/21 08:00 AM,04/30/21 05:00 PM,04/19/21 08:00 AM,04/30/21 05:00 PM,,,,
Report Submission,10 days?,0,05/17/21 08:00 AM,05/28/21 05:00 PM,05/17/21 08:00 AM,05/28/21 05:00 PM,,,,
CET Evaluation,15 days,0,05/31/21 08:00 AM,06/18/21 05:00 PM,05/31/21 08:00 AM,06/18/21 05:00 PM,,,,
tender approval (JTB),15 days,0,06/21/21 08:00 AM,07/09/21 05:00 PM,06/21/21 08:00 AM,07/09/21 05:00 PM,,,,
LOI,6 days,0,07/12/21 08:00 AM,07/19/21 05:00 PM,07/12/21 08:00 AM,07/19/21 05:00 PM,,,,
contract signing,20 days,0,07/20/21 08:00 AM,08/16/21 05:00 PM,07/20/21 08:00 AM,08/16/21 05:00 PM,,,,
PO,4 days,0,08/17/21 08:00 AM,08/20/21 05:00 PM,08/17/21 08:00 AM,08/20/21 05:00 PM,,,,
delivery,50 days,0,08/23/21 08:00 AM,10/29/21 05:00 PM,08/23/21 08:00 AM,10/29/21 05:00 PM,,,1,
shipment,30 days,0,08/23/21 08:00 AM,10/01/21 05:00 PM,08/23/21 08:00 AM,10/01/21 05:00 PM,,,,
regulatory/BOI/IRD approvals,6 days,0,10/04/21 08:00 AM,10/11/21 05:00 PM,10/04/21 08:00 AM,10/11/21 05:00 PM,,,,
clerance,6 days,0,10/12/21 08:00 AM,10/19/21 05:00 PM,10/12/21 08:00 AM,10/19/21 05:00 PM,,,,
stores,4 days,0,10/20/21 08:00 AM,10/25/21 05:00 PM,10/20/21 08:00 AM,10/25/21 05:00 PM,,,,
site delivery,4 days,0,10/26/21 08:00 AM,10/29/21 05:00 PM,10/26/21 08:00 AM,10/29/21 05:00 PM,,,,
implementation,27 days,0,11/01/21 08:00 AM,12/07/21 05:00 PM,11/01/21 08:00 AM,12/07/21 05:00 PM,,,1,
setup ,10 days,0,11/01/21 08:00 AM,11/12/21 05:00 PM,11/01/21 08:00 AM,11/12/21 05:00 PM,,,1,
Rack mounting and Power up,5 days,0,11/01/21 08:00 AM,11/05/21 05:00 PM,11/01/21 08:00 AM,11/05/21 05:00 PM,,,,
initial system configurations,5 days,0,11/08/21 08:00 AM,11/12/21 05:00 PM,11/08/21 08:00 AM,11/12/21 05:00 PM,,,,
integration,17 days,0,11/15/21 08:00 AM,12/07/21 05:00 PM,11/15/21 08:00 AM,12/07/21 05:00 PM,,,1,
storage,17 days,0,11/15/21 08:00 AM,12/07/21 05:00 PM,11/15/21 08:00 AM,12/07/21 05:00 PM,,,1,
SDS,11 days,0,11/15/21 08:00 AM,11/29/21 05:00 PM,11/15/21 08:00 AM,11/29/21 05:00 PM,,, ,
existing,6 days,0,11/30/21 08:00 AM,12/07/21 05:00 PM,11/30/21 08:00 AM,12/07/21 05:00 PM,,,,
Backup Network,20 days,0,11/01/21 08:00 AM,11/26/21 05:00 PM,11/01/21 08:00 AM,11/26/21 05:00 PM,,,,
testing and acceptance,35 days,0,12/08/21 08:00 AM,01/25/22 05:00 PM,12/08/21 08:00 AM,01/25/22 05:00 PM,,,1,
"governance g3,g4",6 days,0,12/08/21 08:00 AM,12/15/21 05:00 PM,12/08/21 08:00 AM,12/15/21 05:00 PM,,,,
test team appointment,4 days,0,12/08/21 08:00 AM,12/13/21 05:00 PM,12/08/21 08:00 AM,12/13/21 05:00 PM,,,,
testing criteria,6 days,0,12/08/21 08:00 AM,12/15/21 05:00 PM,12/08/21 08:00 AM,12/15/21 05:00 PM,,,,
testing setup pretest,6 days,0,12/16/21 08:00 AM,12/23/21 05:00 PM,12/16/21 08:00 AM,12/23/21 05:00 PM,,,,
testing ,16 days,0,12/24/21 08:00 AM,01/14/22 05:00 PM,12/24/21 08:00 AM,01/14/22 05:00 PM,,,,
governance g5,6 days,0,01/17/22 08:00 AM,01/24/22 05:00 PM,01/17/22 08:00 AM,01/24/22 05:00 PM,,,,
acceptance,3 days,0,01/17/22 08:00 AM,01/19/22 05:00 PM,01/17/22 08:00 AM,01/19/22 05:00 PM,,,,
commercial launch,4 days,0,01/20/22 08:00 AM,01/25/22 05:00 PM,01/20/22 08:00 AM,01/25/22 05:00 PM,,,,
closure,264 days,0,01/20/22 08:00 AM,01/24/23 05:00 PM,01/20/22 08:00 AM,01/24/23 05:00 PM,,,1,
fat,262 days,0,01/20/22 08:00 AM,01/20/23 05:00 PM,01/20/22 08:00 AM,01/20/23 05:00 PM,,,1,
fac,2 days,0,01/23/23 08:00 AM,01/24/23 05:00 PM,01/23/23 08:00 AM,01/24/23 05:00 PM,,,1,
