Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task,
GRN Issuance,90 days,1,09/06/19 08:00 AM,01/09/20 05:00 PM,09/06/19 08:00 AM,01/09/20 05:00 PM,09/06/19 08:00 AM,01/09/20 05:00 PM,,
Acceptance,103 days,1,01/09/20 08:00 AM,06/01/20 05:00 PM,01/09/20 08:00 AM,06/01/20 05:00 PM,,06/01/20 05:00 PM,1,
Installation,6 days,1,01/10/20 08:00 AM,01/17/20 05:00 PM,01/10/20 08:00 AM,01/17/20 05:00 PM,01/10/20 08:00 AM,01/17/20 05:00 PM,,
PAC Issuance,103 days,1,01/09/20 08:00 AM,06/01/20 05:00 PM,01/09/20 08:00 AM,06/01/20 05:00 PM,01/09/20 08:00 AM,06/01/20 05:00 PM,,
Replacement of CGP Servers & Mail Gateways,153 days,1,06/13/19 08:00 AM,01/13/20 05:00 PM,06/13/19 08:00 AM,01/13/20 05:00 PM,,01/13/20 05:00 PM,1,
Procurement,108 days,1,06/13/19 08:00 AM,11/11/19 05:00 PM,06/13/19 08:00 AM,11/11/19 05:00 PM,,11/11/19 05:00 PM,1,
BOM Preparation (HW/SW),2 days,1,06/13/19 08:00 AM,06/14/19 05:00 PM,06/13/19 08:00 AM,06/14/19 05:00 PM,06/13/19 08:00 AM,06/14/19 05:00 PM,,
CAPEX Allocation & Reservation,3 days,1,06/27/19 08:00 AM,07/01/19 05:00 PM,06/27/19 08:00 AM,07/01/19 05:00 PM,06/27/19 08:00 AM,07/01/19 05:00 PM,,
PR Initiation,29 days,1,07/08/19 08:00 AM,08/15/19 05:00 PM,07/08/19 08:00 AM,08/15/19 05:00 PM,,08/15/19 05:00 PM,1,
Hardware,4 days,1,07/08/19 08:00 AM,07/11/19 05:00 PM,07/08/19 08:00 AM,07/11/19 05:00 PM,07/08/19 08:00 AM,07/11/19 05:00 PM,,
Software,3 days,1,08/13/19 08:00 AM,08/15/19 05:00 PM,08/13/19 08:00 AM,08/15/19 05:00 PM,08/13/19 08:00 AM,08/15/19 05:00 PM,,
LOI Issuance,26 days,1,07/23/19 08:00 AM,08/27/19 05:00 PM,07/23/19 08:00 AM,08/27/19 05:00 PM,,08/27/19 05:00 PM,1,
Hardware,26 days,1,07/23/19 08:00 AM,08/27/19 05:00 PM,07/23/19 08:00 AM,08/27/19 05:00 PM,07/23/19 08:00 AM,08/27/19 05:00 PM,,
Software,6 days,1,08/16/19 08:00 AM,08/23/19 05:00 PM,08/16/19 08:00 AM,08/23/19 05:00 PM,08/16/19 08:00 AM,08/23/19 05:00 PM,,
Addendum Preparartion & Signing,8 days,1,08/23/19 08:00 AM,09/03/19 05:00 PM,08/23/19 08:00 AM,09/03/19 05:00 PM,,09/03/19 05:00 PM,1,
Hardware,5 days,1,08/27/19 08:00 AM,09/02/19 05:00 PM,08/27/19 08:00 AM,09/02/19 05:00 PM,08/27/19 08:00 AM,09/02/19 05:00 PM,,
Software,8 days,1,08/23/19 08:00 AM,09/03/19 05:00 PM,08/23/19 08:00 AM,09/03/19 05:00 PM,08/23/19 08:00 AM,09/03/19 05:00 PM,,
PO Issuance,50 days,1,09/03/19 08:00 AM,11/11/19 05:00 PM,09/03/19 08:00 AM,11/11/19 05:00 PM,,11/11/19 05:00 PM,1,
Hardware,3 days,1,09/03/19 08:00 AM,09/05/19 05:00 PM,09/03/19 08:00 AM,09/05/19 05:00 PM,09/03/19 08:00 AM,09/05/19 05:00 PM,,
Software,49 days,1,09/04/19 08:00 AM,11/11/19 05:00 PM,09/04/19 08:00 AM,11/11/19 05:00 PM,09/04/19 08:00 AM,11/11/19 05:00 PM,,
Delivery,50 days,1,09/02/19 08:00 AM,11/11/19 08:00 AM,09/02/19 08:00 AM,11/11/19 08:00 AM,,11/11/19 08:00 AM,1,
Obtain DD Aprovals,9 days,1,09/11/19 08:00 AM,09/23/19 05:00 PM,09/11/19 08:00 AM,09/23/19 05:00 PM,09/11/19 08:00 AM,09/23/19 05:00 PM,,
Site Delivery (DD),36 days,1,09/11/19 08:00 AM,10/30/19 05:00 PM,09/11/19 08:00 AM,10/30/19 05:00 PM,09/11/19 08:00 AM,10/30/19 05:00 PM,,
eDelivery SW,0 days,1,11/11/19 08:00 AM,11/11/19 08:00 AM,11/11/19 08:00 AM,11/11/19 08:00 AM,11/11/19 08:00 AM,11/11/19 08:00 AM,,
GRN Issuance,3 days,1,09/02/19 08:00 AM,09/04/19 05:00 PM,09/02/19 08:00 AM,09/04/19 05:00 PM,09/02/19 08:00 AM,09/04/19 05:00 PM,,
Hardware,0 days,1,09/11/19 08:00 AM,09/11/19 08:00 AM,09/11/19 08:00 AM,09/11/19 08:00 AM,09/11/19 08:00 AM,09/11/19 08:00 AM,,
Software,5 days,1,09/11/19 08:00 AM,09/17/19 05:00 PM,09/11/19 08:00 AM,09/17/19 05:00 PM,09/11/19 08:00 AM,09/17/19 05:00 PM,,
setup,45 days,1,11/12/19 08:00 AM,01/13/20 05:00 PM,11/12/19 08:00 AM,01/13/20 05:00 PM,11/12/19 08:00 AM,01/13/20 05:00 PM,,taken as hardware invoice signed and work confirmation for servers date
Replacement of Welikada Core Switches,652 days,0.707250341997264,05/20/19 08:00 AM,11/16/21 05:00 PM,05/20/19 08:00 AM,10/26/21 05:00 PM,,,1,
Procurement,552 days,0.829855537720706,05/20/19 08:00 AM,06/29/21 05:00 PM,05/20/19 08:00 AM,06/08/21 05:00 PM,,,1,
RFP/ BOM Preparation,53 days,1,05/20/19 08:00 AM,07/31/19 05:00 PM,05/20/19 08:00 AM,07/31/19 05:00 PM,05/20/19 08:00 AM,07/31/19 05:00 PM,,
Tender Doc Preparation,37 days,1,08/01/19 08:00 AM,09/20/19 05:00 PM,08/01/19 08:00 AM,09/20/19 05:00 PM,08/01/19 08:00 AM,09/20/19 05:00 PM,,
TET Appointment,11 days,1,07/11/19 08:00 AM,07/25/19 05:00 PM,07/11/19 08:00 AM,07/25/19 05:00 PM,07/11/19 08:00 AM,07/25/19 05:00 PM,,
Design Dinalization,31 days,1,08/01/19 08:00 AM,09/12/19 05:00 PM,08/01/19 08:00 AM,09/12/19 05:00 PM,08/01/19 08:00 AM,09/12/19 05:00 PM,,
tender strategy approval,169 days,1,09/02/19 08:00 AM,04/23/20 05:00 PM,09/02/19 08:00 AM,04/23/20 05:00 PM,09/02/19 08:00 AM,04/23/20 05:00 PM,,
Tendering,63 days,1,04/24/20 08:00 AM,07/21/20 05:00 PM,04/24/20 08:00 AM,07/21/20 05:00 PM,04/24/20 08:00 AM,07/21/20 05:00 PM,,
Tendering - Lead,1 day,1,07/22/20 08:00 AM,07/22/20 05:00 PM,07/22/20 08:00 AM,07/22/20 05:00 PM,07/22/20 08:00 AM,07/22/20 05:00 PM,,
TET Evaluation,147 days,0.938271604938272,07/24/20 08:00 AM,02/15/21 05:00 PM,07/24/20 08:00 AM,01/25/21 05:00 PM,,,1,
Document Evaluation,93 days,1,07/24/20 08:00 AM,12/01/20 05:00 PM,07/24/20 08:00 AM,12/01/20 05:00 PM,07/24/20 08:00 AM,12/01/20 05:00 PM,,reduce to 10 days
Contract Negotiation,24 days,1,10/23/20 08:00 AM,11/25/20 05:00 PM,10/23/20 08:00 AM,11/25/20 05:00 PM,10/23/20 08:00 AM,11/25/20 05:00 PM,, 
Clarificaions,0 days,1,08/10/20 08:00 AM,08/10/20 08:00 AM,08/10/20 08:00 AM,08/10/20 08:00 AM,08/10/20 08:00 AM,08/10/20 08:00 AM,,
POC,35 days,1,12/15/20 08:00 AM,02/01/21 05:00 PM,12/15/20 08:00 AM,01/11/21 05:00 PM,12/15/20 08:00 AM,02/01/21 05:00 PM,,Extensions requested by suppliers  and planned dates are01/12 & 01/15
Submit TET report,10 days,0,02/02/21 08:00 AM,02/15/21 05:00 PM,01/12/21 08:00 AM,01/25/21 05:00 PM,,,,
CET Evaluation,30 days,0,02/16/21 08:00 AM,03/29/21 05:00 PM,01/26/21 08:00 AM,03/08/21 05:00 PM,,,,
Tender Board Approval,45 days,0,03/30/21 08:00 AM,05/31/21 05:00 PM,03/09/21 08:00 AM,05/10/21 05:00 PM,,,,change 30 days to 45 days
LOI Issuance,3 days,0,06/01/21 08:00 AM,06/03/21 05:00 PM,05/11/21 08:00 AM,05/13/21 05:00 PM,,,,
Contract Signing,15 days,0,06/04/21 08:00 AM,06/24/21 05:00 PM,05/14/21 08:00 AM,06/03/21 05:00 PM,,,,
PO Issuance,3 days,0,06/25/21 08:00 AM,06/29/21 05:00 PM,06/04/21 08:00 AM,06/08/21 05:00 PM,,,,
Delivery,63 days,0,06/30/21 08:00 AM,09/24/21 05:00 PM,06/09/21 08:00 AM,09/03/21 05:00 PM,,,1,
Manufacturing,30 days,0,06/30/21 08:00 AM,08/10/21 05:00 PM,06/09/21 08:00 AM,07/20/21 05:00 PM,,,,added
Obtain DD Aprovals,3 days,0,06/30/21 08:00 AM,07/02/21 05:00 PM,06/09/21 08:00 AM,06/11/21 05:00 PM,,,,
Site Delivery (DD),30 days,0,08/11/21 08:00 AM,09/21/21 05:00 PM,07/21/21 08:00 AM,08/31/21 05:00 PM,,,,
GRN Issuance,3 days,0,09/22/21 08:00 AM,09/24/21 05:00 PM,09/01/21 08:00 AM,09/03/21 05:00 PM,,,,
Acceptance,36 days,0,09/27/21 08:00 AM,11/15/21 05:00 PM,09/06/21 08:00 AM,10/25/21 05:00 PM,,,1,
Implementation,30 days,0,09/27/21 08:00 AM,11/05/21 05:00 PM,09/06/21 08:00 AM,10/15/21 05:00 PM,,,,
Obtain and Review Test cases,5 days,0,09/27/21 08:00 AM,10/01/21 05:00 PM,09/06/21 08:00 AM,09/10/21 05:00 PM,,,,
PAT period,5 days,0,11/08/21 08:00 AM,11/12/21 05:00 PM,10/18/21 08:00 AM,10/22/21 05:00 PM,,,,
PAC Issuance,1 day,0,11/15/21 08:00 AM,11/15/21 05:00 PM,10/25/21 08:00 AM,10/25/21 05:00 PM,,,,
Launch,1 day,0,11/16/21 08:00 AM,11/16/21 05:00 PM,10/26/21 08:00 AM,10/26/21 05:00 PM,,,,
Purchase of Load Balancer & Web App. Firewall,535 days,0.817133443163097,05/20/19 08:00 AM,06/04/21 05:00 PM,05/20/19 08:00 AM,06/07/21 05:00 PM,,,1,
Procurement,450 days,0.964980544747082,05/20/19 08:00 AM,02/05/21 05:00 PM,05/20/19 08:00 AM,02/08/21 05:00 PM,,,1,
Original tender strategy presentation,91 days,1,05/20/19 08:00 AM,09/23/19 05:00 PM,05/20/19 08:00 AM,09/23/19 05:00 PM,05/20/19 08:00 AM,09/23/19 05:00 PM,,newly added
TSC approval,36 days,1,09/24/19 08:00 AM,11/12/19 05:00 PM,09/24/19 08:00 AM,11/12/19 05:00 PM,09/24/19 08:00 AM,11/12/19 05:00 PM,,newly added
RFP/ BOM Preparation,33 days,1,04/23/20 08:00 AM,06/08/20 05:00 PM,04/23/20 08:00 AM,06/08/20 05:00 PM,04/23/20 08:00 AM,06/08/20 05:00 PM,,
Tender Doc Preparation,15 days,1,05/19/20 08:00 AM,06/08/20 05:00 PM,05/19/20 08:00 AM,06/08/20 05:00 PM,05/19/20 08:00 AM,06/08/20 05:00 PM,,
TET Appointment,11 days,1,07/11/19 08:00 AM,07/25/19 05:00 PM,07/11/19 08:00 AM,07/25/19 05:00 PM,07/11/19 08:00 AM,07/25/19 05:00 PM,,
Revised tender strategy approval,31 days,1,03/12/20 08:00 AM,04/23/20 05:00 PM,03/12/20 08:00 AM,04/23/20 05:00 PM,03/12/20 08:00 AM,04/23/20 05:00 PM,,
Tendering,23 days,1,06/09/20 08:00 AM,07/09/20 05:00 PM,06/09/20 08:00 AM,07/09/20 05:00 PM,06/09/20 08:00 AM,07/09/20 05:00 PM,,
Tendering - Lead,2 days,1,07/10/20 08:00 AM,07/13/20 05:00 PM,07/10/20 08:00 AM,07/13/20 05:00 PM,07/10/20 08:00 AM,07/13/20 05:00 PM,,
TET Evaluation,73 days,1,07/14/20 08:00 AM,10/22/20 05:00 PM,07/14/20 08:00 AM,10/22/20 05:00 PM,,10/22/20 05:00 PM,1,
Document Evaluation,54 days,1,07/14/20 08:00 AM,09/25/20 05:00 PM,07/14/20 08:00 AM,09/25/20 05:00 PM,07/14/20 08:00 AM,09/25/20 05:00 PM,,
Contract Negotiation,43 days,1,07/24/20 08:00 AM,09/22/20 05:00 PM,07/24/20 08:00 AM,09/22/20 05:00 PM,07/24/20 08:00 AM,09/22/20 05:00 PM,,
Clarificaions,59 days,1,08/03/20 08:00 AM,10/22/20 05:00 PM,08/03/20 08:00 AM,10/22/20 05:00 PM,08/03/20 08:00 AM,10/22/20 05:00 PM,,
Submit TET report,43 days,1,08/25/20 08:00 AM,10/22/20 05:00 PM,08/25/20 08:00 AM,10/22/20 05:00 PM,08/25/20 08:00 AM,10/22/20 05:00 PM,,
CET Evaluation,20 days,1,10/26/20 08:00 AM,11/20/20 05:00 PM,10/26/20 08:00 AM,11/20/20 05:00 PM,10/26/20 08:00 AM,11/20/20 05:00 PM,,change + 5 days
Tender Board Approval,23 days,1,11/23/20 08:00 AM,12/23/20 05:00 PM,11/23/20 08:00 AM,12/23/20 05:00 PM,11/23/20 08:00 AM,12/23/20 05:00 PM,,change +15 days
LOI Issuance,12 days,1,12/24/20 08:00 AM,01/08/21 05:00 PM,12/24/20 08:00 AM,01/13/21 05:00 PM,12/24/20 08:00 AM,01/08/21 05:00 PM,,LOI issuance delayed due to recommondations in approval
Contract Signing,15 days,0,01/13/21 08:00 AM,02/02/21 05:00 PM,01/14/21 08:00 AM,02/03/21 05:00 PM,01/13/21 08:00 AM,,,
PO Issuance,3 days,0,02/03/21 08:00 AM,02/05/21 05:00 PM,02/04/21 08:00 AM,02/08/21 05:00 PM,,,,
Delivery,53 days,0,02/08/21 08:00 AM,04/21/21 05:00 PM,02/09/21 08:00 AM,04/22/21 05:00 PM,,,1,
Manufacturing,20 days,0,02/08/21 08:00 AM,03/05/21 05:00 PM,02/09/21 08:00 AM,03/08/21 05:00 PM,,,,
Obtain DD Aprovals,3 days,0,02/08/21 08:00 AM,02/10/21 05:00 PM,02/09/21 08:00 AM,02/11/21 05:00 PM,,,,
Site Delivery (DD),30 days,0,03/08/21 08:00 AM,04/16/21 05:00 PM,03/09/21 08:00 AM,04/19/21 05:00 PM,,,,
GRN Issuance,3 days,0,04/19/21 08:00 AM,04/21/21 05:00 PM,04/20/21 08:00 AM,04/22/21 05:00 PM,,,,
Acceptance,31 days,0,04/22/21 08:00 AM,06/03/21 05:00 PM,04/23/21 08:00 AM,06/04/21 05:00 PM,,,1,
Implementation,20 days,0,04/22/21 08:00 AM,05/19/21 05:00 PM,04/23/21 08:00 AM,05/20/21 05:00 PM,,,,
Obtain and Review Test cases,5 days,0,04/22/21 08:00 AM,04/28/21 05:00 PM,04/23/21 08:00 AM,04/29/21 05:00 PM,,,,
PAT period,10 days,0,05/20/21 08:00 AM,06/02/21 05:00 PM,05/21/21 08:00 AM,06/03/21 05:00 PM,,,,
PAC Issuance,1 day,0,06/03/21 08:00 AM,06/03/21 05:00 PM,06/04/21 08:00 AM,06/04/21 05:00 PM,,,,
Launch,1 day,0,06/04/21 08:00 AM,06/04/21 05:00 PM,06/07/21 08:00 AM,06/07/21 05:00 PM,,,,
Purchase of Fire Suppression System,170 days,0,05/20/19 08:00 AM,01/10/20 05:00 PM,05/20/19 08:00 AM,01/10/20 05:00 PM,,,1,
Procurement,104 days,0,05/20/19 08:00 AM,10/10/19 05:00 PM,05/20/19 08:00 AM,10/10/19 05:00 PM,,,1,
RFP/ BOM Preparation,15 days,0,05/20/19 08:00 AM,06/07/19 05:00 PM,05/20/19 08:00 AM,06/07/19 05:00 PM,,,1,
Tender Doc Preparation,5 days,0,06/03/19 08:00 AM,06/07/19 05:00 PM,06/03/19 08:00 AM,06/07/19 05:00 PM,,,1,
TET Appointment,4 days,0,05/20/19 08:00 AM,05/23/19 05:00 PM,05/20/19 08:00 AM,05/23/19 05:00 PM,,,1,
Tendering,15 days,0,06/10/19 08:00 AM,06/28/19 05:00 PM,06/10/19 08:00 AM,06/28/19 05:00 PM,,,1,
Tendering - Lead,10 days,0,07/01/19 08:00 AM,07/12/19 05:00 PM,07/01/19 08:00 AM,07/12/19 05:00 PM,,,1,
TET Evaluation,30 days,0,07/01/19 08:00 AM,08/09/19 05:00 PM,07/01/19 08:00 AM,08/09/19 05:00 PM,,,1,
Document Evaluation,10 days,0,07/01/19 08:00 AM,07/12/19 05:00 PM,07/01/19 08:00 AM,07/12/19 05:00 PM,,,1,
Contract Negotiation,15 days,0,07/01/19 08:00 AM,07/19/19 05:00 PM,07/01/19 08:00 AM,07/19/19 05:00 PM,,,1,
Clarificaions,15 days,0,07/15/19 08:00 AM,08/02/19 05:00 PM,07/15/19 08:00 AM,08/02/19 05:00 PM,,,1,
Submit TET report,5 days,0,08/05/19 08:00 AM,08/09/19 05:00 PM,08/05/19 08:00 AM,08/09/19 05:00 PM,,,1,
CET Evaluation,10 days,0,08/12/19 08:00 AM,08/23/19 05:00 PM,08/12/19 08:00 AM,08/23/19 05:00 PM,,,1,
Tender Board Approval,10 days,0,08/26/19 08:00 AM,09/06/19 05:00 PM,08/26/19 08:00 AM,09/06/19 05:00 PM,,,1,
LOI Issuance,4 days,0,09/09/19 08:00 AM,09/12/19 05:00 PM,09/09/19 08:00 AM,09/12/19 05:00 PM,,,1,
Contract Signing,16 days,0,09/13/19 08:00 AM,10/04/19 05:00 PM,09/13/19 08:00 AM,10/04/19 05:00 PM,,,1,
PO Issuance,4 days,0,10/07/19 08:00 AM,10/10/19 05:00 PM,10/07/19 08:00 AM,10/10/19 05:00 PM,,,1,
Delivery,35 days,0,10/11/19 08:00 AM,11/28/19 05:00 PM,10/11/19 08:00 AM,11/28/19 05:00 PM,,,1,
Obtain DD Aprovals,4 days,0,10/11/19 08:00 AM,10/16/19 05:00 PM,10/11/19 08:00 AM,10/16/19 05:00 PM,,,,
Site Delivery (DD),31 days,0,10/11/19 08:00 AM,11/22/19 05:00 PM,10/11/19 08:00 AM,11/22/19 05:00 PM,,,,
GRN Issuance,4 days,0,11/25/19 08:00 AM,11/28/19 05:00 PM,11/25/19 08:00 AM,11/28/19 05:00 PM,,,,
Acceptance,31 days,0,11/29/19 08:00 AM,01/10/20 05:00 PM,11/29/19 08:00 AM,01/10/20 05:00 PM,,,1,
Implementation,31 days,0,11/29/19 08:00 AM,01/10/20 05:00 PM,11/29/19 08:00 AM,01/10/20 05:00 PM,,,,
PAT period,6 days,0,12/09/19 08:00 AM,12/16/19 05:00 PM,12/09/19 08:00 AM,12/16/19 05:00 PM,,,,
PAC Issuance,2 days,0,12/17/19 08:00 AM,12/18/19 05:00 PM,12/17/19 08:00 AM,12/18/19 05:00 PM,,,,
Obtain and Review Test cases,6 days,0,11/29/19 08:00 AM,12/06/19 05:00 PM,11/29/19 08:00 AM,12/06/19 05:00 PM,,,,
Launch,2 days,0,12/09/19 08:00 AM,12/10/19 05:00 PM,12/09/19 08:00 AM,12/10/19 05:00 PM,,,,
Purchase of SFP Converters,209 days,1,05/20/19 08:00 AM,03/05/20 05:00 PM,05/20/19 08:00 AM,03/05/20 05:00 PM,,03/05/20 05:00 PM,1,
Procurement,134 days,1,05/20/19 08:00 AM,11/21/19 05:00 PM,05/20/19 08:00 AM,11/21/19 05:00 PM,,11/21/19 05:00 PM,1,
RFP/ BOM Preparation,30 days,1,05/20/19 08:00 AM,06/28/19 05:00 PM,05/20/19 08:00 AM,06/28/19 05:00 PM,05/20/19 08:00 AM,06/28/19 05:00 PM,,
Tender Doc Preparation,5 days,1,05/20/19 08:00 AM,05/24/19 05:00 PM,05/20/19 08:00 AM,05/24/19 05:00 PM,05/20/19 08:00 AM,05/24/19 05:00 PM,,
TET Appointment,4 days,1,05/20/19 08:00 AM,05/23/19 05:00 PM,05/20/19 08:00 AM,05/23/19 05:00 PM,05/20/19 08:00 AM,05/23/19 05:00 PM,,
Tendering,15 days,1,07/01/19 08:00 AM,07/19/19 05:00 PM,07/01/19 08:00 AM,07/19/19 05:00 PM,07/01/19 08:00 AM,07/19/19 05:00 PM,,
Tendering - Lead,10 days,1,07/22/19 08:00 AM,08/02/19 05:00 PM,07/22/19 08:00 AM,08/02/19 05:00 PM,07/22/19 08:00 AM,08/02/19 05:00 PM,,
TET Evaluation,35 days,1,08/05/19 08:00 AM,09/20/19 05:00 PM,08/05/19 08:00 AM,09/20/19 05:00 PM,,09/20/19 05:00 PM,1,
Document Evaluation,10 days,1,08/05/19 08:00 AM,08/16/19 05:00 PM,08/05/19 08:00 AM,08/16/19 05:00 PM,08/05/19 08:00 AM,08/16/19 05:00 PM,,
Contract Negotiation,15 days,1,08/05/19 08:00 AM,08/23/19 05:00 PM,08/05/19 08:00 AM,08/23/19 05:00 PM,08/05/19 08:00 AM,08/23/19 05:00 PM,,
Clarificaions,20 days,1,08/19/19 08:00 AM,09/13/19 05:00 PM,08/19/19 08:00 AM,09/13/19 05:00 PM,08/19/19 08:00 AM,09/13/19 05:00 PM,,
Submit TET report,5 days,1,09/16/19 08:00 AM,09/20/19 05:00 PM,09/16/19 08:00 AM,09/20/19 05:00 PM,09/16/19 08:00 AM,09/20/19 05:00 PM,,
CET Evaluation,10 days,1,09/23/19 08:00 AM,10/04/19 05:00 PM,09/23/19 08:00 AM,10/04/19 05:00 PM,09/23/19 08:00 AM,10/04/19 05:00 PM,,
Tender Board Approval,10 days,1,10/07/19 08:00 AM,10/18/19 05:00 PM,10/07/19 08:00 AM,10/18/19 05:00 PM,10/07/19 08:00 AM,10/18/19 05:00 PM,,
LOI Issuance,4 days,1,10/21/19 08:00 AM,10/24/19 05:00 PM,10/21/19 08:00 AM,10/24/19 05:00 PM,10/21/19 08:00 AM,10/24/19 05:00 PM,,
Contract Signing,16 days,1,10/25/19 08:00 AM,11/15/19 05:00 PM,10/25/19 08:00 AM,11/15/19 05:00 PM,10/25/19 08:00 AM,11/15/19 05:00 PM,,
PO Issuance,4 days,1,11/18/19 08:00 AM,11/21/19 05:00 PM,11/18/19 08:00 AM,11/21/19 05:00 PM,11/18/19 08:00 AM,11/21/19 05:00 PM,,
Delivery,35 days,1,11/22/19 08:00 AM,01/09/20 05:00 PM,11/22/19 08:00 AM,01/09/20 05:00 PM,,01/09/20 05:00 PM,1,
Obtain DD Aprovals,4 days,1,11/22/19 08:00 AM,11/27/19 05:00 PM,11/22/19 08:00 AM,11/27/19 05:00 PM,11/22/19 08:00 AM,11/27/19 05:00 PM,,
Site Delivery (DD),31 days,1,11/22/19 08:00 AM,01/03/20 05:00 PM,11/22/19 08:00 AM,01/03/20 05:00 PM,11/22/19 08:00 AM,01/03/20 05:00 PM,,
GRN Issuance,4 days,1,01/06/20 08:00 AM,01/09/20 05:00 PM,01/06/20 08:00 AM,01/09/20 05:00 PM,01/06/20 08:00 AM,01/09/20 05:00 PM,,
Acceptance,38 days,1,01/10/20 08:00 AM,03/03/20 05:00 PM,01/10/20 08:00 AM,03/03/20 05:00 PM,,03/03/20 05:00 PM,1,
Implementation,38 days,1,01/10/20 08:00 AM,03/03/20 05:00 PM,01/10/20 08:00 AM,03/03/20 05:00 PM,01/10/20 08:00 AM,03/03/20 05:00 PM,,
Obtain and Review Test cases,6 days,1,01/10/20 08:00 AM,01/17/20 05:00 PM,01/10/20 08:00 AM,01/17/20 05:00 PM,01/10/20 08:00 AM,01/17/20 05:00 PM,,
PAT period,6 days,1,01/20/20 08:00 AM,01/27/20 05:00 PM,01/20/20 08:00 AM,01/27/20 05:00 PM,01/20/20 08:00 AM,01/27/20 05:00 PM,,
PAC Issuance,2 days,1,01/28/20 08:00 AM,01/29/20 05:00 PM,01/28/20 08:00 AM,01/29/20 05:00 PM,01/28/20 08:00 AM,01/29/20 05:00 PM,,
