Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task,
PR ,4 days,1,10/23/20 8:00 AM,10/28/20 5:00 PM,9/8/20 3:00 AM,9/8/20 10:30 PM,10/23/20 8:00 AM,10/28/20 5:00 PM,,
Tender lead,37 days,1,10/29/20 8:00 AM,12/18/20 5:00 PM,9/10/20 3:00 AM,9/15/20 10:30 PM,10/29/20 8:00 AM,12/18/20 5:00 PM,,
Tendering,31 days,1,11/6/20 8:00 AM,12/18/20 5:00 PM,9/17/20 3:00 AM,9/29/20 10:30 PM,11/6/20 8:00 AM,12/18/20 5:00 PM,,
TET Evaluation,11 days,1,12/21/20 8:00 AM,1/4/21 5:00 PM,10/1/20 3:00 AM,10/13/20 10:30 PM,12/21/20 8:00 AM,1/4/21 5:00 PM,,
CET Evaluation,21 days,1,1/5/21 8:00 AM,2/2/21 5:00 PM,10/15/20 3:00 AM,11/10/20 10:30 PM,1/5/21 8:00 AM,2/2/21 5:00 PM,,
Tender Approval,21 days,0.619047619047619,2/3/21 8:00 AM,3/3/21 5:00 PM,11/12/20 3:00 AM,12/8/20 10:30 PM,2/3/21 8:00 AM,,,
LOI,5 days,0,3/4/21 8:00 AM,3/10/21 5:00 PM,12/10/20 11:00 AM,12/12/20 6:30 AM,,,,
Contract preparation,17 days,0,3/11/21 8:00 AM,4/2/21 5:00 PM,12/15/20 11:00 AM,1/2/21 6:30 AM,,,,
Contract sign,7 days,0,4/5/21 8:00 AM,4/13/21 5:00 PM,1/5/21 11:00 AM,1/9/21 6:30 AM,,,,
PO,4 days,0,4/14/21 8:00 AM,4/19/21 5:00 PM,1/12/21 11:00 AM,1/14/21 6:30 AM,,,,
LC,11 days,0,4/20/21 8:00 AM,5/4/21 5:00 PM,1/15/21 11:00 AM,1/28/21 6:30 AM,,,,
Regulatory Clearance/Inland Revenue,16 days,0,5/5/21 8:00 AM,5/26/21 5:00 PM,1/29/21 11:00 AM,2/17/21 6:30 AM,,,,
Delivery,8 days,0,5/27/21 8:00 AM,6/7/21 5:00 PM,2/18/21 11:00 AM,2/26/21 6:30 AM,,,,
GRN,5 days,0,6/8/21 8:00 AM,6/14/21 5:00 PM,3/2/21 11:00 AM,3/3/21 6:30 AM,,,,
MO,4 days,0,6/15/21 8:00 AM,6/18/21 5:00 PM,3/4/21 11:00 AM,3/5/21 6:30 AM,,,,
Governance G3,7 days,0,6/8/21 8:00 AM,6/16/21 5:00 PM,3/2/21 11:00 AM,3/5/21 6:30 AM,,,,
Implementation,11 days,0,6/17/21 8:00 AM,7/1/21 5:00 PM,3/5/21 9:30 PM,3/6/21 6:30 AM,,,1,
Licence installation,3 days,0,6/17/21 8:00 AM,6/21/21 5:00 PM,3/5/21 9:30 PM,3/6/21 6:30 AM,,,,
PAT,4 days,0,6/22/21 8:00 AM,6/25/21 5:00 PM,3/9/21 11:00 AM,3/10/21 6:30 AM,,,,
PAC,4 days,0,6/28/21 8:00 AM,7/1/21 5:00 PM,3/11/21 11:00 AM,3/13/21 6:30 AM,,,,
3. NGN MGW Replacement ,281 days,0.06832298136646,10/2/20 8:00 AM,10/29/21 5:00 PM,8/19/20 3:00 AM,1/13/21 10:30 PM,,,1,
Procurement,260 days,0.086614173228347,10/2/20 8:00 AM,9/30/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,,,1,
Requirement/Specifications,11 days,1,10/2/20 8:00 AM,10/16/20 5:00 PM,8/19/20 3:00 AM,8/29/20 3:00 AM,10/2/20 8:00 AM,10/16/20 5:00 PM,,
Tendering,2 days,0,4/22/21 8:00 AM,4/23/21 5:00 PM,2/11/21 9:30 PM,2/12/21 6:30 AM,,,,
LOI,5 days,0,4/26/21 8:00 AM,4/30/21 5:00 PM,2/16/21 11:00 AM,2/17/21 6:30 AM,,,,
Contract preparation,14 days,0,5/3/21 8:00 AM,5/20/21 5:00 PM,2/18/21 11:00 AM,3/5/21 6:30 AM,,,,
Contract sign,7 days,0,5/21/21 8:00 AM,5/31/21 5:00 PM,3/9/21 11:00 AM,3/12/21 6:30 AM,,,,
PO,5 days,0,6/1/21 8:00 AM,6/7/21 5:00 PM,3/16/21 11:00 AM,3/17/21 6:30 AM,,,,
LC,12 days,0,6/8/21 8:00 AM,6/23/21 5:00 PM,3/18/21 11:00 AM,3/31/21 6:30 AM,,,,
Regulatory Clearance/Inland Revenue,22 days,0,6/24/21 8:00 AM,7/23/21 5:00 PM,4/1/21 11:00 AM,4/29/21 6:30 AM,,,,
Delivery,31 days,0,7/26/21 8:00 AM,9/6/21 5:00 PM,4/30/21 11:00 AM,6/10/21 6:30 AM,,,,
clearance,11 days,0,9/7/21 8:00 AM,9/21/21 5:00 PM,6/11/21 11:00 AM,6/24/21 6:30 AM,,,,
GRN,5 days,0,9/22/21 8:00 AM,9/28/21 5:00 PM,6/25/21 11:00 AM,6/26/21 11:00 AM,,,,
MO,2 days,0,9/29/21 8:00 AM,9/30/21 5:00 PM,6/30/21 11:00 AM,7/1/21 6:30 AM,,,,
Governance G3,6 days,0,9/22/21 8:00 AM,9/29/21 5:00 PM,6/25/21 11:00 AM,7/1/21 6:30 AM,,,,
Implementation,41 days,0,9/3/21 8:00 AM,10/29/21 5:00 PM,6/9/21 9:30 PM,6/10/21 6:30 AM,,,1,
Space ,2 days,0,9/3/21 8:00 AM,9/6/21 5:00 PM,6/9/21 9:30 PM,6/10/21 6:30 AM,,,,
power,2 days,0,9/3/21 8:00 AM,9/6/21 5:00 PM,6/9/21 9:30 PM,6/10/21 6:30 AM,,,,
Cooling,2 days,0,9/3/21 8:00 AM,9/6/21 5:00 PM,6/9/21 9:30 PM,6/10/21 6:30 AM,,,,
Equipment installation,11 days,0,9/30/21 8:00 AM,10/14/21 5:00 PM,7/2/21 11:00 AM,7/15/21 6:30 AM,,,,
PAT,6 days,0,10/15/21 8:00 AM,10/22/21 5:00 PM,7/16/21 11:00 AM,7/22/21 6:30 AM,,,,
PAC,5 days,0,10/25/21 8:00 AM,10/29/21 5:00 PM,7/23/21 11:00 AM,7/24/21 11:00 AM,,,,
4.  IMS SBC Enhancement,279 days,0.273529411764706,10/2/20 8:00 AM,10/27/21 5:00 PM,8/19/20 3:00 AM,4/22/21 10:30 PM,1/21/21 8:00 AM,,1,
Verification,95 days,0.515151515151515,10/2/20 8:00 AM,2/11/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,,,1,
POC team,4 days,1,10/2/20 8:00 AM,10/7/20 5:00 PM,8/19/20 3:00 AM,8/20/20 10:30 PM,10/2/20 8:00 AM,10/7/20 5:00 PM,,
POC criteria,13 days,1,10/8/20 8:00 AM,10/26/20 5:00 PM,8/25/20 3:00 AM,9/5/20 3:00 AM,10/8/20 8:00 AM,10/26/20 5:00 PM,,
POC,16 days,0,1/21/21 8:00 AM,2/11/21 5:00 PM,9/9/20 11:00 AM,9/26/20 11:00 AM,,,,
Procurement,210 days,0.348623853211009,11/18/20 8:00 AM,9/7/21 5:00 PM,9/29/20 9:30 PM,9/30/20 6:30 AM,1/21/21 8:00 AM,,1,
Requirement/Specifications,11 days,1,11/18/20 8:00 AM,12/2/20 5:00 PM,9/30/20 3:00 AM,10/10/20 3:00 AM,11/18/20 8:00 AM,12/2/20 5:00 PM,,
Tendering,87 days,0.68421052631579,12/3/20 8:00 AM,4/2/21 5:00 PM,9/29/20 9:30 PM,9/30/20 6:30 AM,1/21/21 8:00 AM,,1,
Tender Document preparation,4 days,1,12/3/20 8:00 AM,12/8/20 5:00 PM,10/14/20 3:00 AM,10/15/20 10:30 PM,12/3/20 8:00 AM,12/8/20 5:00 PM,,
Sole Source Approval,4 days,1,12/3/20 8:00 AM,12/8/20 5:00 PM,9/30/20 3:00 AM,10/1/20 10:30 PM,12/3/20 8:00 AM,12/8/20 5:00 PM,,
SSET Appointment,6 days,1,12/3/20 8:00 AM,12/10/20 5:00 PM,9/30/20 3:00 AM,10/3/20 3:00 AM,12/3/20 8:00 AM,12/10/20 5:00 PM,,
PR ,4 days,1,12/11/20 8:00 AM,12/16/20 5:00 PM,10/20/20 3:00 AM,10/20/20 10:30 PM,12/11/20 8:00 AM,12/16/20 5:00 PM,,
Tender lead,6 days,1,12/17/20 8:00 AM,12/24/20 5:00 PM,10/22/20 3:00 AM,10/27/20 10:30 PM,12/17/20 8:00 AM,12/24/20 5:00 PM,,
Tendering,8 days,1,12/25/20 8:00 AM,1/5/21 5:00 PM,10/29/20 3:00 AM,11/5/20 10:30 PM,12/25/20 8:00 AM,1/5/21 5:00 PM,,
TET Evaluation,11 days,1,1/6/21 8:00 AM,1/20/21 5:00 PM,11/10/20 3:00 AM,11/19/20 10:30 PM,1/6/21 8:00 AM,1/20/21 5:00 PM,,
CET Evaluation,31 days,0.709677419354839,1/21/21 8:00 AM,3/4/21 5:00 PM,11/24/20 3:00 AM,12/31/20 10:30 PM,1/21/21 8:00 AM,,,
Tender Approval,21 days,0,3/5/21 8:00 AM,4/2/21 5:00 PM,1/5/21 11:00 AM,1/29/21 6:30 AM,,,,
LOI,5 days,0,4/5/21 8:00 AM,4/9/21 5:00 PM,2/2/21 11:00 AM,2/3/21 6:30 AM,,,,
Contract preparation,16 days,0,4/12/21 8:00 AM,5/3/21 5:00 PM,2/4/21 11:00 AM,2/24/21 6:30 AM,,,,
Contract sign,7 days,0,5/4/21 8:00 AM,5/12/21 5:00 PM,2/25/21 11:00 AM,3/3/21 6:30 AM,,,,
PO,4 days,0,5/13/21 8:00 AM,5/18/21 5:00 PM,3/4/21 11:00 AM,3/6/21 6:30 AM,,,,
LC,12 days,0,5/19/21 8:00 AM,6/3/21 5:00 PM,3/9/21 11:00 AM,3/20/21 6:30 AM,,,,
Regulatory Clearance/Inland Revenue,16 days,0,6/4/21 8:00 AM,6/25/21 5:00 PM,3/23/21 11:00 AM,4/9/21 6:30 AM,,,,
Delivery,32 days,0,6/28/21 8:00 AM,8/10/21 5:00 PM,4/13/21 11:00 AM,5/21/21 6:30 AM,,,,
Clearance,12 days,0,8/11/21 8:00 AM,8/26/21 5:00 PM,5/25/21 11:00 AM,6/4/21 6:30 AM,,,,
GRN,5 days,0,8/27/21 8:00 AM,9/2/21 5:00 PM,6/8/21 11:00 AM,6/9/21 6:30 AM,,,,
MO,3 days,0,9/3/21 8:00 AM,9/7/21 5:00 PM,6/10/21 11:00 AM,6/11/21 6:30 AM,,,,
Governance G3,7 days,0,8/11/21 8:00 AM,8/19/21 5:00 PM,5/25/21 11:00 AM,5/28/21 6:30 AM,,,,
Implementation,39 days,0,9/3/21 8:00 AM,10/27/21 5:00 PM,6/9/21 9:30 PM,6/10/21 6:30 AM,,,1,
Space ,2 days,0,9/3/21 8:00 AM,9/6/21 5:00 PM,6/9/21 9:30 PM,6/10/21 6:30 AM,,,,
power,2 days,0,9/3/21 8:00 AM,9/6/21 5:00 PM,6/9/21 9:30 PM,6/10/21 6:30 AM,,,,
Cooling,2 days,0,9/3/21 8:00 AM,9/6/21 5:00 PM,6/9/21 9:30 PM,6/10/21 6:30 AM,,,,
Equipment installation,11 days,0,9/7/21 8:00 AM,9/21/21 5:00 PM,6/11/21 11:00 AM,6/24/21 6:30 AM,,,,
Integration,26 days,0,9/22/21 8:00 AM,10/27/21 5:00 PM,6/24/21 9:30 PM,6/25/21 6:30 AM,,,1,
DRA,11 days,0,9/22/21 8:00 AM,10/6/21 5:00 PM,6/25/21 11:00 AM,7/8/21 6:30 AM,,,,
IMS core,11 days,0,10/7/21 8:00 AM,10/21/21 5:00 PM,7/9/21 11:00 AM,7/22/21 6:30 AM,,,,
LCR system,26 days,0,9/22/21 8:00 AM,10/27/21 5:00 PM,6/25/21 11:00 AM,7/29/21 6:30 AM,,,,
PAT,11 days,0,9/22/21 8:00 AM,10/6/21 5:00 PM,6/25/21 11:00 AM,7/8/21 6:30 AM,,,,
PAC,6 days,0,10/7/21 8:00 AM,10/14/21 5:00 PM,7/9/21 11:00 AM,7/15/21 6:30 AM,,,,
5. Upgrade or Replacement of PRC & NTP Server and PTP Implementation ,574 days,0.183261183261183,10/2/20 8:00 AM,12/14/22 5:00 PM,8/19/20 3:00 AM,5/13/21 10:30 PM,1/11/21 8:00 AM,,1,
Phase I,386 days,0.239373601789709,10/2/20 8:00 AM,3/25/22 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,1/11/21 8:00 AM,,1,
Procurement,348 days,0.30225988700565,10/2/20 8:00 AM,2/1/22 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,1/11/21 8:00 AM,,1,
Requirement/Specifications,31 days,1,10/2/20 8:00 AM,11/13/20 5:00 PM,8/19/20 3:00 AM,9/26/20 3:00 AM,10/2/20 8:00 AM,11/13/20 5:00 PM,,
Tendering,190 days,0.460606060606061,10/2/20 8:00 AM,6/24/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,1/11/21 8:00 AM,,1,
Tender Document preparation,22 days,1,11/16/20 8:00 AM,12/15/20 5:00 PM,9/30/20 3:00 AM,10/1/20 10:30 PM,11/16/20 8:00 AM,12/15/20 5:00 PM,,
TET Appointment,6 days,1,10/2/20 8:00 AM,10/9/20 5:00 PM,8/19/20 3:00 AM,8/22/20 3:00 AM,10/2/20 8:00 AM,10/9/20 5:00 PM,,
PR ,4 days,1,12/16/20 8:00 AM,12/21/20 5:00 PM,10/6/20 3:00 AM,10/6/20 10:30 PM,12/16/20 8:00 AM,12/21/20 5:00 PM,,
Tender lead,6 days,1,12/22/20 8:00 AM,12/29/20 5:00 PM,10/8/20 3:00 AM,10/13/20 10:30 PM,12/22/20 8:00 AM,12/29/20 5:00 PM,,
Tendering,8 days,1,12/30/20 8:00 AM,1/8/21 5:00 PM,10/15/20 3:00 AM,10/22/20 10:30 PM,12/30/20 8:00 AM,1/8/21 5:00 PM,,
TET Evaluation,45 days,0.666666666666667,1/11/21 8:00 AM,3/12/21 5:00 PM,10/27/20 3:00 AM,12/24/20 10:30 PM,1/11/21 8:00 AM,,,
CET Evaluation,42 days,0,3/15/21 8:00 AM,5/11/21 5:00 PM,12/29/20 11:00 AM,2/19/21 6:30 AM,,,,
Tender Approval,32 days,0,5/12/21 8:00 AM,6/24/21 5:00 PM,2/23/21 11:00 AM,4/2/21 6:30 AM,,,,
LOI,5 days,0,6/25/21 8:00 AM,7/1/21 5:00 PM,4/6/21 11:00 AM,4/7/21 6:30 AM,,,,
Contract preparation,22 days,0,7/2/21 8:00 AM,8/2/21 5:00 PM,4/8/21 11:00 AM,5/5/21 6:30 AM,,,,
Contract sign,7 days,0,8/3/21 8:00 AM,8/11/21 5:00 PM,5/6/21 11:00 AM,5/12/21 6:30 AM,,,,
PO,5 days,0,8/12/21 8:00 AM,8/18/21 5:00 PM,5/13/21 11:00 AM,5/15/21 6:30 AM,,,,
LC,12 days,0,8/19/21 8:00 AM,9/3/21 5:00 PM,5/18/21 11:00 AM,5/29/21 6:30 AM,,,,
Regulatory Clearance/Inland Revenue,32 days,0,9/6/21 8:00 AM,10/19/21 5:00 PM,6/1/21 11:00 AM,7/10/21 6:30 AM,,,,
Delivery,46 days,0,10/20/21 8:00 AM,12/22/21 5:00 PM,7/13/21 11:00 AM,9/11/21 6:30 AM,,,,
Clearance,21 days,0,12/23/21 8:00 AM,1/20/22 5:00 PM,9/14/21 11:00 AM,10/9/21 6:30 AM,,,,
GRN,4 days,0,1/21/22 8:00 AM,1/26/22 5:00 PM,10/12/21 11:00 AM,10/14/21 6:30 AM,,,,
MO,4 days,0,1/27/22 8:00 AM,2/1/22 5:00 PM,10/15/21 11:00 AM,10/16/21 6:30 AM,,,,
Governance G3,6 days,0,12/23/21 8:00 AM,12/30/21 5:00 PM,9/14/21 11:00 AM,9/18/21 6:30 AM,,,,
Implementation,44 days,0,1/25/22 8:00 AM,3/25/22 5:00 PM,10/13/21 9:30 PM,10/14/21 6:30 AM,,,1,
Space ,2 days,0,1/25/22 8:00 AM,1/26/22 5:00 PM,10/13/21 9:30 PM,10/14/21 6:30 AM,,,,
power,2 days,0,1/25/22 8:00 AM,1/26/22 5:00 PM,10/13/21 9:30 PM,10/14/21 6:30 AM,,,,
Cooling,2 days,0,1/25/22 8:00 AM,1/26/22 5:00 PM,10/13/21 9:30 PM,10/14/21 6:30 AM,,,,
Equipment installation,16 days,0,1/27/22 8:00 AM,2/17/22 5:00 PM,10/15/21 11:00 AM,11/4/21 6:30 AM,,,,
Integration,26 days,0,2/18/22 8:00 AM,3/25/22 5:00 PM,11/4/21 9:30 PM,11/5/21 6:30 AM,,,1,
Between Sites,11 days,0,2/18/22 8:00 AM,3/4/22 5:00 PM,11/5/21 11:00 AM,11/18/21 6:30 AM,,,,
Packet Network,11 days,0,3/7/22 8:00 AM,3/21/22 5:00 PM,11/19/21 11:00 AM,12/2/21 6:30 AM,,,,
Voice Network,26 days,0,2/18/22 8:00 AM,3/25/22 5:00 PM,11/5/21 11:00 AM,12/9/21 6:30 AM,,,,
PAT,11 days,0,2/18/22 8:00 AM,3/4/22 5:00 PM,11/5/21 11:00 AM,11/18/21 6:30 AM,,,,
PAC,6 days,0,3/7/22 8:00 AM,3/14/22 5:00 PM,11/19/21 11:00 AM,11/25/21 6:30 AM,,,,
Phase II,200 days,0.08130081300813,3/10/22 8:00 AM,12/14/22 5:00 PM,12/9/21 9:30 PM,12/10/21 6:30 AM,,,1,
Procurement,150 days,0.133333333333333,3/10/22 8:00 AM,10/5/22 5:00 PM,12/9/21 9:30 PM,12/10/21 6:30 AM,,,1,
Design,20 days,1,3/10/22 8:00 AM,4/6/22 5:00 PM,12/10/21 3:00 AM,1/5/22 10:30 PM,3/10/22 8:00 AM,4/6/22 5:00 PM,,
PR,5 days,0,4/7/22 8:00 AM,4/13/22 5:00 PM,1/7/22 11:00 AM,1/8/22 11:00 AM,,,,
LOI,5 days,0,4/14/22 8:00 AM,4/20/22 5:00 PM,1/12/22 11:00 AM,1/14/22 6:30 AM,,,,
PB,7 days,0,4/21/22 8:00 AM,4/29/22 5:00 PM,1/18/22 11:00 AM,1/21/22 6:30 AM,,,,
PO,5 days,0,5/2/22 8:00 AM,5/6/22 5:00 PM,1/25/22 11:00 AM,1/26/22 6:30 AM,,,,
Regulatory Clearance/Inland Revenue,32 days,0,5/9/22 8:00 AM,6/21/22 5:00 PM,1/27/22 11:00 AM,3/9/22 6:30 AM,,,,
Delivery,46 days,0,6/22/22 8:00 AM,8/24/22 5:00 PM,3/10/22 11:00 AM,5/11/22 6:30 AM,,,,
Clearance,22 days,0,8/25/22 8:00 AM,9/23/22 5:00 PM,5/12/22 11:00 AM,6/8/22 6:30 AM,,,,
GRN,5 days,0,9/26/22 8:00 AM,9/30/22 5:00 PM,6/9/22 11:00 AM,6/11/22 6:30 AM,,,,
MO,3 days,0,10/3/22 8:00 AM,10/5/22 5:00 PM,6/14/22 11:00 AM,6/15/22 6:30 AM,,,,
Governance G3,7 days,0,10/3/22 8:00 AM,10/11/22 5:00 PM,6/14/22 11:00 AM,6/18/22 6:30 AM,,,,
Implementation,83 days,0,8/22/22 8:00 AM,12/14/22 5:00 PM,5/10/22 9:30 PM,5/11/22 6:30 AM,,,1,
Space ,3 days,0,8/22/22 8:00 AM,8/24/22 5:00 PM,5/10/22 9:30 PM,5/11/22 6:30 AM,,,,
power,3 days,0,8/22/22 8:00 AM,8/24/22 5:00 PM,5/10/22 9:30 PM,5/11/22 6:30 AM,,,,
Cooling,3 days,0,8/22/22 8:00 AM,8/24/22 5:00 PM,5/10/22 9:30 PM,5/11/22 6:30 AM,,,,
Equipment installation,61 days,0,8/25/22 8:00 AM,11/17/22 5:00 PM,5/12/22 11:00 AM,8/3/22 6:30 AM,,,,
PAT,12 days,0,11/18/22 8:00 AM,12/5/22 5:00 PM,8/4/22 11:00 AM,8/17/22 6:30 AM,,,,
PAC,7 days,0,12/6/22 8:00 AM,12/14/22 5:00 PM,8/18/22 11:00 AM,8/24/22 6:30 AM,,,,
6. Digitalk Replacement,191 days,0.624242424242424,10/2/20 8:00 AM,6/25/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,,,1,
