Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task
tendering,19 days,1,06/06/19 08:00 AM,07/02/19 05:00 PM,04/30/19 12:30 AM,05/23/19 10:30 PM,06/06/19 08:00 AM,07/02/19 05:00 PM,
TET evaluation ,71 days,1,07/03/19 08:00 AM,10/09/19 05:00 PM,05/29/19 03:42 AM,07/05/19 09:42 AM,,10/09/19 05:00 PM,1
document evaluation,32 days,1,07/03/19 08:00 AM,08/15/19 05:00 PM,05/28/19 08:30 AM,06/13/19 10:30 PM,07/03/19 08:00 AM,08/15/19 05:00 PM,
technical negotiation,11 days,1,08/16/19 08:00 AM,08/30/19 05:00 PM,06/18/19 08:30 AM,06/27/19 10:30 PM,08/16/19 08:00 AM,08/30/19 05:00 PM,
contract negotiation,23 days,1,08/30/19 08:00 AM,10/01/19 05:00 PM,06/18/19 08:30 AM,06/20/19 10:30 PM,08/30/19 08:00 AM,10/01/19 05:00 PM,
POC,63 days,1,07/15/19 08:00 AM,10/09/19 05:00 PM,07/16/19 06:12 AM,08/10/19 01:42 AM,,10/09/19 05:00 PM,1
criteria finalization,35 days,1,07/15/19 08:00 AM,08/30/19 05:00 PM,06/18/19 08:30 AM,06/21/19 10:30 PM,07/15/19 08:00 AM,08/30/19 05:00 PM,
feature verification,32 days,1,08/16/19 08:00 AM,09/30/19 05:00 PM,06/26/19 08:30 AM,07/12/19 10:30 PM,08/16/19 08:00 AM,09/30/19 05:00 PM,
concluding and report,7 days,1,10/01/19 08:00 AM,10/09/19 05:00 PM,07/16/19 08:30 AM,07/19/19 10:30 PM,10/01/19 08:00 AM,10/09/19 05:00 PM,
CET evaluation,71 days,1,10/10/19 08:00 AM,01/16/20 05:00 PM,07/23/19 08:30 AM,08/23/19 10:30 PM,10/10/19 08:00 AM,01/16/20 05:00 PM,
Governance CR,106 days,1,02/10/20 08:00 AM,07/06/20 05:00 PM,,,,07/06/20 05:00 PM,1
PPIMC approval,91 days,1,02/10/20 08:00 AM,06/15/20 05:00 PM,,,02/10/20 08:00 AM,06/15/20 05:00 PM,
SIMC approval,15 days,1,06/16/20 08:00 AM,07/06/20 05:00 PM,,,06/16/20 08:00 AM,07/06/20 05:00 PM,
Tender approval tender board,25 days,0.533005555555556,07/07/20 08:00 AM,08/10/20 05:00 PM,08/27/19 04:30 PM,09/06/19 10:30 PM,,,
LOI,8 days,0.253967013888889,08/11/20 08:00 AM,08/20/20 05:00 PM,09/10/19 04:30 PM,09/11/19 10:30 PM,,,
contract signing,67 days,1,08/21/20 08:00 AM,11/23/20 05:00 PM,09/13/19 04:30 PM,10/09/19 10:30 PM,08/21/20 08:00 AM,11/23/20 05:00 PM,
PO,52 days,0.461538461538462,09/21/20 08:00 AM,12/01/20 05:00 PM,10/11/19 04:30 PM,10/11/19 10:30 PM,09/21/20 08:00 AM,,
Governance G3,6 days,1,09/22/20 08:00 AM,09/29/20 05:00 PM,07/23/19 04:30 PM,07/26/19 10:30 PM,09/22/20 08:00 AM,09/29/20 05:00 PM,
Implementation,171.6 days,0.980961829176115,08/19/20 08:00 AM,04/15/21 01:48 PM,12/10/19 09:30 PM,12/11/19 06:30 AM,,,1
setup ,12 days,1,08/19/20 08:00 AM,09/03/20 05:00 PM,01/09/20 09:30 PM,01/10/20 06:30 AM,,09/03/20 05:00 PM,1
network connectivity ,6 days,1,08/19/20 08:00 AM,08/26/20 05:00 PM,01/14/20 04:30 PM,01/17/20 10:30 PM,08/19/20 08:00 AM,08/26/20 05:00 PM,
initial system configurations,6 days,1,08/27/20 08:00 AM,09/03/20 05:00 PM,01/21/20 04:30 PM,01/24/20 10:30 PM,08/27/20 08:00 AM,09/03/20 05:00 PM,
integration,153 days,0.999817961165049,09/04/20 08:00 AM,04/06/21 05:00 PM,01/27/20 09:30 PM,01/28/20 06:30 AM,,,1
WLC,11 days,1,09/04/20 08:00 AM,09/18/20 05:00 PM,01/28/20 04:30 PM,02/07/20 10:30 PM,09/04/20 08:00 AM,09/18/20 05:00 PM,
SMS ,59 days,1,09/21/20 08:00 AM,12/10/20 05:00 PM,,,09/21/20 08:00 AM,12/10/20 05:00 PM,
SMTP,40 days,1,09/29/20 08:00 AM,11/23/20 05:00 PM,,,09/29/20 08:00 AM,11/23/20 05:00 PM,
Billing,96 days,0.999609375,11/24/20 08:00 AM,04/06/21 05:00 PM,,,,,
Testing & acceptance,120.6 days,0.892703862660944,10/29/20 08:00 AM,04/15/21 01:48 PM,12/10/19 09:30 PM,12/11/19 06:30 AM,,,1
test team appointment/criteria,4 days,1,10/29/20 08:00 AM,11/03/20 05:00 PM,12/11/19 04:30 PM,12/12/19 10:30 PM,10/29/20 08:00 AM,11/03/20 05:00 PM,
test finalization,11 days,1,12/11/20 08:00 AM,12/25/20 05:00 PM,,,12/11/20 08:00 AM,12/25/20 05:00 PM,
testing setup & pretest,8 days,1,12/28/20 08:00 AM,01/06/21 05:00 PM,02/11/20 04:30 PM,02/21/20 10:30 PM,12/28/20 08:00 AM,01/06/21 05:00 PM,
testing,6 days,1,01/07/21 08:00 AM,01/14/21 05:00 PM,02/25/20 04:30 PM,02/26/20 10:30 PM,01/07/21 08:00 AM,01/14/21 05:00 PM,
security clearance,11 days,1,01/07/21 08:00 AM,01/21/21 05:00 PM,,,01/07/21 08:00 AM,01/21/21 05:00 PM,
Acceptance,6.6 days,0.242424242424242,04/07/21 08:00 AM,04/15/21 01:48 PM,03/06/20 04:30 PM,03/06/20 10:30 PM,,,
Data migration ,4 days,1,12/24/20 08:00 AM,12/29/20 05:00 PM,03/12/20 03:42 AM,03/13/20 09:42 AM,,12/29/20 05:00 PM,1
Wi-Fi Core,4 days,1,12/24/20 08:00 AM,12/29/20 05:00 PM,03/11/20 04:30 PM,03/13/20 10:30 PM,12/24/20 08:00 AM,12/29/20 05:00 PM,
training,11 days,1,09/22/20 08:00 AM,10/06/20 05:00 PM,11/27/19 04:30 PM,12/06/19 10:30 PM,09/22/20 08:00 AM,10/06/20 05:00 PM,
"Governace G4,G5",6.6 days,0,04/15/21 01:48 PM,04/26/21 09:36 AM,03/12/20 03:42 AM,03/14/20 09:42 AM,,,
commercial launch,2 days,1,02/09/21 08:00 AM,02/10/21 05:00 PM,03/18/20 04:30 PM,03/19/20 10:30 PM,02/09/21 08:00 AM,02/10/21 05:00 PM,
fat,180.6 days,0.008859357696567,02/11/21 08:00 AM,10/21/21 01:48 PM,03/24/20 04:30 PM,11/26/20 10:30 PM,,,1
fac,1.6 days,0,10/21/21 01:48 PM,10/25/21 09:36 AM,11/27/20 09:30 PM,11/28/20 06:30 AM,,,1
Wi-Fi AN,708 days,0.111026615969582,10/03/18 08:00 AM,06/29/21 05:00 PM,02/18/20 09:30 PM,02/19/20 06:30 AM,10/03/18 08:00 AM,,1
Governance CR,493 days,0.022427440633245,10/03/18 08:00 AM,09/01/20 05:00 PM,06/30/20 09:30 PM,07/01/20 06:30 AM,10/03/18 08:00 AM,,1
Business case,454 days,0.017621145374449,10/03/18 08:00 AM,07/08/20 05:00 PM,07/01/20 03:00 AM,07/08/20 10:30 PM,10/03/18 08:00 AM,,
CR preparation and submission,451 days,0.01330376940133,10/15/18 08:00 AM,07/15/20 05:00 PM,07/10/20 03:00 AM,07/15/20 10:30 PM,10/15/18 08:00 AM,,
CR committee approval,452 days,0.015486725663717,10/24/18 08:00 AM,07/23/20 05:00 PM,07/17/20 03:00 AM,07/23/20 10:30 PM,10/24/18 08:00 AM,,
PPIMC approval,459 days,0.032679738562092,11/02/18 08:00 AM,08/12/20 05:00 PM,07/28/20 03:00 AM,08/12/20 10:30 PM,11/02/18 08:00 AM,,
SIMC approval,458 days,0.032751091703057,11/29/18 08:00 AM,09/01/20 05:00 PM,08/14/20 03:00 AM,09/01/20 10:30 PM,11/29/18 08:00 AM,,
Rate Contract,356 days,0.676966292134831,02/18/20 08:00 AM,06/29/21 05:00 PM,02/18/20 09:30 PM,02/19/20 06:30 AM,12/08/20 08:00 AM,,1
PR,5 days,1,02/18/20 08:00 AM,02/24/20 05:00 PM,02/18/20 07:00 PM,02/24/20 10:30 PM,02/18/20 08:00 AM,02/24/20 05:00 PM,
Tendering ,63 days,1,02/25/20 08:00 AM,05/21/20 05:00 PM,02/25/20 07:00 PM,05/21/20 10:30 PM,02/25/20 08:00 AM,05/21/20 05:00 PM,
Technical evaluation,142 days,1,05/22/20 08:00 AM,12/07/20 05:00 PM,05/22/20 07:00 PM,08/13/20 10:30 PM,05/22/20 08:00 AM,12/07/20 05:00 PM,
Financial evaluation,45 days,0.511111111111111,12/08/20 08:00 AM,02/08/21 05:00 PM,08/18/20 03:00 AM,10/15/20 10:30 PM,12/08/20 08:00 AM,,
Tender board Approval,60 days,0.133333333333333,02/09/21 08:00 AM,05/03/21 05:00 PM,10/20/20 03:00 AM,01/07/21 10:30 PM,02/09/21 08:00 AM,,
LOI,7 days,0,05/04/21 08:00 AM,05/12/21 05:00 PM,01/12/21 11:00 AM,01/15/21 06:30 AM,,,
Contract prepare,22 days,0,05/13/21 08:00 AM,06/11/21 05:00 PM,01/19/21 11:00 AM,02/13/21 06:30 AM,,,
contract sign,12 days,0,06/14/21 08:00 AM,06/29/21 05:00 PM,02/16/21 11:00 AM,02/27/21 11:00 AM,,,
PO (out of scope ),0 days,0,06/29/21 05:00 PM,06/29/21 05:00 PM,03/01/21 05:00 PM,03/01/21 05:00 PM,,,
Replacement (out of scope),0 days,0,06/29/21 05:00 PM,06/29/21 05:00 PM,03/01/21 05:00 PM,03/01/21 05:00 PM,,,
